cod_RS;Cod_IBGE;Cod_Tabnet;nome_MUN;nome_RS;sigla_UF;pop_regiao
11005;1100015;110001;Alta Floresta D'Oeste;Zona da Mata;RO;135877
11001;1100023;110002;Ariquemes;Vale do Jamari;RO;274136
11006;1100031;110003;Cabixi;Cone Sul;RO;158113
11002;1100049;110004;Cacoal;Café;RO;172081
11006;1100056;110005;Cerejeiras;Cone Sul;RO;158113
11006;1100064;110006;Colorado do Oeste;Cone Sul;RO;158113
11006;1100072;110007;Corumbiara;Cone Sul;RO;158113
11007;1100080;110008;Costa Marques;Vale do Guaporé;RO;50453
11002;1100098;110009;Espigão D'Oeste;Café;RO;172081
11004;1100106;110010;Guajará-Mirim;Madeira-Mamoré;RO;643452
11003;1100114;110011;Jaru;Central;RO;343113
11003;1100122;110012;Ji-Paraná;Central;RO;343113
11001;1100130;110013;Machadinho D'Oeste;Vale do Jamari;RO;274136
11005;1100148;110014;Nova Brasilândia D'Oeste;Zona da Mata;RO;135877
11003;1100155;110015;Ouro Preto do Oeste;Central;RO;343113
11002;1100189;110018;Pimenta Bueno;Café;RO;172081
11004;1100205;110020;Porto Velho;Madeira-Mamoré;RO;643452
11003;1100254;110025;Presidente Médici;Central;RO;343113
11001;1100262;110026;Rio Crespo;Vale do Jamari;RO;274136
11005;1100288;110028;Rolim de Moura;Zona da Mata;RO;135877
11005;1100296;110029;Santa Luzia D'Oeste;Zona da Mata;RO;135877
11006;1100304;110030;Vilhena;Cone Sul;RO;158113
11003;1100320;110032;São Miguel do Guaporé;Central;RO;343113
11004;1100338;110033;Nova Mamoré;Madeira-Mamoré;RO;643452
11003;1100346;110034;Alvorada D'Oeste;Central;RO;343113
11005;1100379;110037;Alto Alegre dos Parecis;Zona da Mata;RO;135877
11001;1100403;110040;Alto Paraíso;Vale do Jamari;RO;274136
11001;1100452;110045;Buritis;Vale do Jamari;RO;274136
11005;1100502;110050;Novo Horizonte do Oeste;Zona da Mata;RO;135877
11001;1100601;110060;Cacaulândia;Vale do Jamari;RO;274136
11001;1100700;110070;Campo Novo de Rondônia;Vale do Jamari;RO;274136
11004;1100809;110080;Candeias do Jamari;Madeira-Mamoré;RO;643452
11005;1100908;110090;Castanheiras;Zona da Mata;RO;135877
11006;1100924;110092;Chupinguaia;Cone Sul;RO;158113
11001;1100940;110094;Cujubim;Vale do Jamari;RO;274136
11003;1101005;110100;Governador Jorge Teixeira;Central;RO;343113
11004;1101104;110110;Itapuã do Oeste;Madeira-Mamoré;RO;643452
11002;1101203;110120;Ministro Andreazza;Café;RO;172081
11003;1101302;110130;Mirante da Serra;Central;RO;343113
11001;1101401;110140;Monte Negro;Vale do Jamari;RO;274136
11003;1101435;110143;Nova União;Central;RO;343113
11005;1101450;110145;Parecis;Zona da Mata;RO;135877
11006;1101468;110146;Pimenteiras do Oeste;Cone Sul;RO;158113
11002;1101476;110147;Primavera de Rondônia;Café;RO;172081
11002;1101484;110148;São Felipe D'Oeste;Café;RO;172081
11007;1101492;110149;São Francisco do Guaporé;Vale do Guaporé;RO;50453
11007;1101500;110150;Seringueiras;Vale do Guaporé;RO;50453
11003;1101559;110155;Teixeirópolis;Central;RO;343113
11003;1101609;110160;Theobroma;Central;RO;343113
11003;1101708;110170;Urupá;Central;RO;343113
11003;1101757;110175;Vale do Anari;Central;RO;343113
11003;1101807;110180;Vale do Paraíso;Central;RO;343113
12002;1200013;120001;Acrelândia;Baixo Acre e Purus;AC;576027
12001;1200054;120005;Assis Brasil;Alto Acre;AC;71429
12001;1200104;120010;Brasiléia;Alto Acre;AC;71429
12002;1200138;120013;Bujari;Baixo Acre e Purus;AC;576027
12002;1200179;120017;Capixaba;Baixo Acre e Purus;AC;576027
12003;1200203;120020;Cruzeiro do Sul;Juruá e Tarauacá/Envira;AC;234479
12001;1200252;120025;Epitaciolândia;Alto Acre;AC;71429
12003;1200302;120030;Feijó;Juruá e Tarauacá/Envira;AC;234479
12002;1200328;120032;Jordão;Baixo Acre e Purus;AC;576027
12003;1200336;120033;Mâncio Lima;Juruá e Tarauacá/Envira;AC;234479
12002;1200344;120034;Manoel Urbano;Baixo Acre e Purus;AC;576027
12003;1200351;120035;Marechal Thaumaturgo;Juruá e Tarauacá/Envira;AC;234479
12002;1200385;120038;Plácido de Castro;Baixo Acre e Purus;AC;576027
12003;1200393;120039;Porto Walter;Juruá e Tarauacá/Envira;AC;234479
12002;1200401;120040;Rio Branco;Baixo Acre e Purus;AC;576027
12003;1200427;120042;Rodrigues Alves;Juruá e Tarauacá/Envira;AC;234479
12002;1200435;120043;Santa Rosa do Purus;Baixo Acre e Purus;AC;576027
12002;1200450;120045;Senador Guiomard;Baixo Acre e Purus;AC;576027
12002;1200500;120050;Sena Madureira;Baixo Acre e Purus;AC;576027
12003;1200609;120060;Tarauacá;Juruá e Tarauacá/Envira;AC;234479
